title,genres,Plot
Lahure,"Drama,  Action,","Lahure is based on the story of the brave Gorkha soldiers and the sacrifices made by them and their families. Starring Shrawan Ghimire, Pradip Pakhrin, Tripti"
Shiva Shakti,,
Jay Shambhu,"Drama,  Romance,  Action,",Action packed love story movie revolves around contemporary society.
Duniya,"Drama,  Social,",
Dui Rupaiya,"Drama,  Action,","One day, while conducting such smuggling, they lose the transaction slip - a Rs. 2 note. The film ""Dui Rupaiyan"" entails their quest to find that Rs. 2 and save their necks, all the while saving themselves from local thugs, police, and their boss too."
Mero Euta Sathi Chha,"Drama,  Romance,","Jay is too spoiled to inherit his grandfather's vast wealth. When he fails to graduate from college, his grandfather's will sends him back to his ancestral village where, long ago, he made a friend. Shikha, Jay's estranged childhood friend, helps Jay rediscover his humanity. But, Shikha is very sick. She shared her dreams with Jay - to rebuild the orphanage where she lives. Jay realizes that this life where he can choose nothing, where money buys nothing important, is dearer to him than a full of privilege. Can he save Shikha and marry her? Will their dream come true? Will Jay re-inherit his ancestral wealth?"
Sathi Ma Timro,"Other,","Saathi Ma Timro is a Nepali movie directed by actor Bhuwan KC which depicts the story of a struggling producer and his son. The movie also touches the sensitive issue of father-son relationship. The character of the son, as a child is played by child artist Shirshak Sapkota."
Mela,"Romance,","This movie revolves around the college life of three best friends Abhishek (Amesh), Priti (Ashishma) and Dipesh (Salon). It is a love story with a bit of comedy, action and drama in it."
Ma Yesto Geet Gauchu,"Romance,","Ma yesto geet gaauchu is a Nepali Musical Love Story film directed by Sudarshan Thapa. Starring Pooja Sharma and Paul Shah in the Lead roles, it was produced by Sudarshan Thapa and Pooja Sharma under the Sudarshan Thapa Production banner. MYGG is a love story centering on the relationship between Paul and Chhaya."
Fateko Jutta,"Comedy,  Drama,","Fateko Jutta is 2017 drama and Comedy film directed by Naresh Khadka and produced by Arjun Kumar. The film stars Saugat Malla, Priyanka Karki, Kameshwor Chaurasiya and Rabindra Jha in lead roles. The film is scheduled to release on 03 November 2017."
Bhool Bhulaiyaa,"Other,",
Bardaan (Short Movie),"Drama,",Bardaan is new nepali short movie directed by Dipendra Lama.
Rudrapriya,"Drama,  Romance,  Action,  Thriller,","Rudra Priya is Nepali movie by the legend actor and actress Aryan Sigdel and Rekha Thapa. After a long time span both of them are seen together. The movie is directed by Sudeep Bhupal Singh and produced by Ramesh MK Poudel as an executive producer. Rudra Priya movie is made under the banner of Rekha Films. The movie stars Rekha Thapa, Aryan Sigdel, Rajan Ishan in the lead roles. Rudra Priya is shot by the cinematographer Sanjay Lama, music composed by Suresh Adhikari, Arjun Pokharel and Rajan Ishan."
Maaleekaa,"Drama,  Social,","Maaleekaa marks a rare feat for a Nepali movie actress, for the film is directed by Thapa and features the actress in a leading role as well. Thapa is seen playing mentor to a girl while she is also featured in a couple of action sequences."
Truck Driver,"Romance,  Social,","Truck Driver is 1994 Romance/Drama Nepalese movie, written by Brazesh Khanal is directed by Rajkumar Sharma. This movie features Shiv Shrestha, Karishma Manandhar, Shree Krishna Shrestha, Madan Krishna Shrestha and Hari Bansha Acharya in the lead role."
Sunpani,"Drama,  Social,",
Jhumkee,"Thriller,",Jhumkee features suspense story on Women Violence in Nepal.
Ek Number Ko Pakhe,"Other,","Ek Number Ko Pakhe is a 1999 Nepali film directed by Kishor Rana Magar. The film stars Rajesh Hamal and Karishma Manandhar in lead roles with an ensemble of supporting cast including Ramesh Upreti, Jal Shah, Neer Shah, Basundhara Bhusal, Ravi Shah and Dinesh DC."
Kohalpur Express,"Comedy,  Drama,","Kohalpur Express is a story about three women who try their luck with the same. What follows is a series of comical events, misfortunes and coincidences that only adds more misery to their already troubled lives.
The movie is directed by Bishal Bhandari starring, Priyanka Karki, Reecha Sharma, Keki Adhikari, Binod Neupane, Buddhi Tamang."
Loafer,"Thriller,  Suspense,",Loafer is a suspense thriller Nepali film based on the story of unemployed people.
Pandit Bajeko Lauri,"Drama,  Social,",Pandit baje's lauri is struggle of Kashiram pandit to finish pandityai of his brother Sitaram pandit who is doing pandityai and hiding bad relation with cowardly woman in a village.
Hijo Aaja Ka Kura,"Comedy,  Drama,",
Love Diaries,"Comedy,  Romance,",A romantic comedy movie.
Nepathya,"Comedy,  Drama,  Romance,",Story of a men to be a movie star.
Bishwas,"Drama,  Romance,",Bishwas is superhit old Nepali movie directed by Ujwal Ghimire.
Hero No.1,"Comedy,  Action,","Hero No. 1' directed by Jay Kishan Basnet has also released today. It includes Jay Kishan Basnet, Elina Rayamajhi, Jahanvi Basnet, Sanghrat Maharjan, Sobhit Basnet, Laya Sangraula, Tarzaan, etc. as major casts."
Dimaag Kharaab,"Comedy,  Drama,  Action,","Dimag Kharab is a 2023 Nepali film, which is directed by Nischal Basnet from a screenplay by Aakash Baral under the banner of Black Horse Pictures Pvt.Ltd. It is produced by Raunak Bikram Kandel."
Sushree Sampati,"Comedy,  Romance,  Family,",Social comedy Nepali film based on two slum dwellers in Pokhara in search of a rich girl to get married and get settled in life influenced by their fellow mates.
The Break Up,"Comedy,  Drama,  Romance,",Love story between Aaviskhar and Sara and how their friends-with-benefits relationship ends up in them falling in love with each other.
Bhai,"Drama,  Social,",Bhai is a Nepali movie directed by Deepak Shrestha.
Lalpurja,"Drama,  Romance,","Lalpurja is a story of struggle between two brothers for a piece of land.It is set in Miteri Gaon,an imaginary village of Nepal."
Kafal Pakyo,"Drama,  Romance,",When a guy get a marriage date but while going to the location he encounters many weird stuff.
Ramkahani,"Comedy,  Romance,  Horror,",An adult returns from Qatar to Nepal in maintaining his love life.
Rajja Rani,"Drama,","In the Terai region of Nepal, Raja struggles for his love of Rani and the social and cultural obstacles that are thrown their way."
Sunkesari,"Horror,","Sunkesari tells the story of an Australian palace constructed around 1880 AD and how it is converted into a boutique hotel, and the strange tale of the supernatural beings that live among the hotel's corridors."
Kaira,"Drama,  Romance,  Social,","Kaira, a romantic movie is an ups and down journey of love where the protagonists Jay and Kaira, are lucky for everything but unlucky for love. This Journey of love makes its destination to Philippines where Jay has adapted himself to the different world with the hope that he won’t be meeting Kaira but gets surprised when he meets Kaira and twist of their love story in the Philippines and the rest of the story continues in Philippines itself unfolding their love with twists and turns."
Himmatwali,"Action,  Adventure,","Nepali movie ‘Himmatwali’ is a presentation of actress Rekha Thapa under her home production banner Rekha Films and her directorial debut. ‘Himmatwali’ introduced disabled actor Sudarshan Gautam for the first time in Nepali films. Sudarshan, a Canadian citizen without hands has made world records by climbing Mt. Everest and other unbelievable feats. He can also do his day to day things with his feet and can even drive cars with his feet. In addition to romancing in the movie, Sudarshan and Rekha also romanced in real life. Rekha had been single after divorcing Chhabi Raj Ojha and Sudarshan had also divorced his wife. In various interviews, they hadn’t denied the possibility of marriage between the two."
Sadak,"Drama,  Romance,  Action,",
Jatra,"Comedy,  Drama,  Action,","An innocent, poor and hardworking man Phadindra Timsina (Bipin Karki) finds a sack full of 3 Crores Nepalese rupees stolen from a bank. He then consults with his 2 friends Jayas (Rabindra Singh Baniya) and Munna (Rabindra Jha) to make that money white."
Mero Paisa Khoi,"Comedy,  Drama,","Mero Paisa Khoi' is a comedy movie, directed by Rose Rana and produced by Uma KC."
Awara,"Comedy,  Action,","""AAWARA"" is a Social Drama ,with comedy,Action. Presented by Taiyab Shah is story & screenply by Prakash Thapa, directed by Vijay Thapa. The star cast includes Rajesh Hamal, Puja Chand, Harihar Sharma, Basundhara Bhushal, Shanti Maskey, Sushila Rayamajhi, Deepashri Niraula, Srisha Karki, Ramesh Budhathoki, Pawan Mainali, Prakash Thapa and others."
The Most Wanted,,
K Yo Maya Ho,"Romantic,","It is the second direction of Sudarshan Thapa after the superhit movie Mero Euta Saathi Chha. The story of this movie is based on trending western culture in Nepal i.e Living Together. It contains the problems and life of youngsters in the cities. Audience will be entertained by some comics and good music, directed by Sugam Pokhrel."
First Love,"Romantic,","""First Love"" is the love story roaming between three close friends two girls."
Jholay,"Comedy,",Satire/Dark Comedy based on True Events.
Kirtipur - The Legend of Kirtilaxmi,"History,","Kirtipur The Legend of Kirtilaxmi, is a 2019 nepali movie directed by Pradeep Khadgi. It portrays the Historical event of the epic battle between Gorkha and Kirtipur held on about 250 years ago."
Agni Pariksha,"Drama,  Social,",
Dui Kinara,"Drama,  Social,",
Children of the Snow Land,,"""CHILDREN OF THE SNOW LAND tells the story of a group of children born in the High Himalayas of Nepal — a remote area of great natural beauty but where life is extremely tough. From just four years old, some children are sent by their parents to the capital city, Kathmandu, to a school run by a Buddhist monk in the hope that education will give them a better chance in life. For ten years or more, they do not see or speak to their parents, due to the remoteness of their villages. Now, upon graduation, aged 16, the children are making the trek home: an arduous and lengthy journey across mountains that takes them to the highest inhabited place on the planet; a faraway, off-grid land where the way of life has not changed for thousands of years, and where their parents are waiting to see children brought up in a world of mobile phones, social media and most modern conveniences. And then the earthquake strikes."
Ngolo Thagu (Thulo Solti),"Drama,  Social,",Ngolo Thagu (Thulo Solti) is a Nepali Gurung movie directed by Janak Gurung.
Saayad 2,"Romance,  Action,","The film stars Sushil Shrestha and Sharon Shrestha in lead roles. It also features Amrit Dhungana, Kushal Pandey, Sunil Rawal, Sushil Sitaula, Nisha Karki, Rubina Shrestha, and Buddhi Lal Magar. The film initially cast Sandhya K.C, Arpana Upadhyaya and Aashirman Joshi in lead roles but they were replaced by Sharon, Nisha Karki and Kushal Pandey respectively."
Dhanapati,"Comedy,  Drama,","Dhanapati, a poor man suffering from high poverty is pulled towards politics after not able pay for his daughter school to earn lot of money he goes into politics to earn money."
Saraswati,"Drama,",
Butterfly,"Drama,  Romance,","Butterfly (colors of love) is a movie replete with thriller, suspense, adventure and comedy. marked as is with extraordinary lucidity, the movie elegantly compares the shades of love with the exquisite colors of butterfly."
Mr. Nepali,,
Love You Hamesha,"Drama,  Romance,","Love You Hamesha is a Nepali movie released on 1 Nov, 2019. The movie is directed by Bhaskar Pradhan and featured Yash Raj Garuch, Fiza Yonjan, Richa Thapa and Shisir Rana as lead characters."
Agastya,"Drama,  Action,","""The unbreakable AGASTYA - Chapter 1"" is new Nepali movie directed by Saurav Chaudhary and includes stars from Nepali film industry as well as bollywood with the filming at beautiful places Gorakhpur, Banaras, Kathmandu and Nawalparashi. They will reveal their star cast very soon & are going to be one of the biggest projects of Nepali film industry."
Maya Ko Barima,"Drama,  Romance,",
Lappan Chhappan,"Drama,  Crime,","Lappan Chhappan, is a Nepali gangster film directed by Mukunda Bhatta and produced by Damber Bahadur Chand.
The character named Banka sets out to take revenge on the minister who betrayed him."
Mukhauta,"Action,  Crime,",Mukhauta is a Nepali movie which features gangster life in thamel how the two gangs use their power against other people.
Kagbeni,"Drama,  Horror,","Old friends Krishna and Ramesh meet after ages and on their way to home, an old hermit gives them ""a monkey's paw"" that has the power to grant wishes. And, from then onward, the paw changes everyone's life."
Furke,"Comedy,  Drama,",
Changa,"Comedy,","Story of three guys, who are planning to earn money from fast and easy way. While a boy of wealthy family is missing they are planning with puzzle of kidnapping. The mixed up of mystery, revolving and twist of life is the movie CHANGA."
Karkhana,"Romance,",Karkhana is a romantic drama with a strong social message.it is a story about a women's wrong choice in life and the difficulties she faces to come to terms with and to overcome these challenges.
Bhrasta Nayak,"Social,",Social Movie
Sapana Timro Mero,"Romance,  Social,",
Parva,"Romance,  Social,","Parva is a psychological thriller which carries a story about a character, who continuously carries out attacks for his self satisfaction, after an incident occurred at a festival."
Lalteen,"Drama,  Action,",Lalteen is a movie that illustrates the criminal activities of gangs and their way of life in the city. Guns and violence are daily rituals of gang members and innocent people are victimised. Lalteen visualises the hardship when involved with criminals and the result is mostly terrible.
Silsila,"Drama,",When a journalist nearly get killed from his enemy his mother and other people do everything to revive him up.
Tandav,"Thriller,  Crime,","Three child-laborers brought together by circumstances – Amrit, Maya, and Amir – grew up together and learned to look after each other. But Ganesh, a weapons smuggler, destroyed their lives by forcing Amrit into working for him, and Maya a prostitute. Only Amir escaped that hell."
,"Other,",
Malati Ko Bhatti,"Rated X,",
Euta Saathi,"Romantic,",Euta Saathi is a Nepali movie directed by Laxman Subedi.
Jwala,"Drama,  Romance,  Social,",Rajesh Hamal is a hero in this movie.
Chapali Height 2,"Romance,  Thriller,",Chapali Height 2 is a sequel to the 2012 film Chapali Height. This movie is based on romantic thriller directed by and produced by Arjun Kumar.
Romeo,"Drama,  Romance,","Hassan Raza Khan has formally announced his upcoming movie ‘Romeo’ in a program held in Kathmandu. Although it was informally announced during his birthday in February, it took a while to finalize the artists and the start of the movie. The name of the movie ‘Romeo’ and one of the actresses, Oshima Banu were announced in February of 2016. In addition to Oshima Banu two more actresses were announced in the formal announcement."
Soltini,"Drama,  Social,",
Sanghuro,"Drama,",A portrayal of the everyday struggles faced by a newly married couple in a slum in urban Nepal.
Khajure Bro,"Comedy,  Drama,  Action,","Khajure Bro is a new Nepali movie directed by Rear Rai, Suraj Sunuwar, starring, Mahesh Tripathi, Nabin Manandhar, Niti Shah."
Love Sasha,"Romance,",A girl (Keki Adhikari) starts to develop a afair with a young man (Karma Shayla) while waiting to get engaged with her long time boyfriend.
Soongava: Dance of the Orchids,"Drama,  Romance,","Nepal’s first lesbian romance movie. This movie has Nepal’s well-known actors – Saugat Malla in and as Milan, Deeya Maskey in and as Diya and Nisha Adhikari in as Kiran. This 2012 movie directed and written by Subama Thapa is a pioneer of LGBT movies in Nepal. Although not nominated for the Oscars, this movie was a chosen entry for the Oscars that year."
Thuldai,"Drama,  Family,",Thuldai is Nepali movie directed by Dayaram Dahal. A story of a normal village boy whose mother dies and brother gets lost in the city.
Nalapani,"Social,  Action,  Thriller,  Adventure,  History,","The Battle of Nalapani was the primary clash of the Anglo-Nepalese War of 1814– 1816, battled between the powers of the British East India Company and Nepal. The fight occurred around the Nalapani fortress, near Dehradun. The battalion was commanded and lead by Captain Balbhadra Kunwar from Nepal while Major-General Rollo Gillespie was leading the British troops. Gillespie was killed on the primary day of the attack during the war. This is the first movie to be based on such historic war in case of Nepal. It’s troublesome and new at the same time. It is difficult in the sense to give good judgement to the actual war that happened in 1814,  in the form of the motion picture. Anyway, director Rimesh Adhkari has given an attempt to an absolutely new taste which is extremely worth lauding."
Radha,"Drama,  Romance,","Radha is Nepalese movie based on a love story where the two characters meet during a bus travel and then come close. Also, they both face problem in their relationships."
Destination Kathmandu,"Drama,  Romance,  Social,","Destination Kathmandu is a Love Story Social drama Nepali Movie, the main theme of the movie shows the development of tourism Kathmandu. Before completing the movie, the director of the movie was died, so the movie has been completed by co-director Madhusudhan Bhattarai. The tentative releasing date of the movie has been scheduled for Baisakh 25. The main starcasts of the movie are Dilip Rayamajhi, Jharana Thapa and Australian actress Sarah Mawbey. Official trailer of this movie has been already released on youtube."
Man Paraye Maya Laye,"Romance,  Social,",
Hurray,"Comedy,  Drama,  Romance,  Social,",Hurray is a Dark Comedy Movie
Resham Filili,"Comedy,  Drama,","Resham Filili follows the friendship, dreams, hopes and deeds of Resham and Hariya - both whethered by bad luck and misfortunes, must at any cost beat the oddest odds to save their lives from Dorje's men."
Surya Kiran,"Drama,",
Gopi,"Drama,  Social,",An excellent portrayal of a struggle of a common man to do something in our discouraging system and society. Fantastic acting from the cast and well written dialogues.
Dodhar,"Drama,  Romance,",
Jali Rumal,"Social,",
Dharmaputra,"Drama,  Social,  Family,",
Rhythm,"Drama,  Romance,  Love Story,",
Chunauti,"Drama,  Action,  Family,",The movie ‘Chunauti’ was made in the time before Saroj Khanal went to the USA. Khanal was considered the actor with the most potential to be the next superstar in the film industry. After about two decades in the USA Khanal has returned back to Nepal a couple of years ago.
Pujar Sarki,"Drama,","Three individuals unite against societal norms perpetuating caste discrimination, facing challenges in their collective struggle to defy the existing caste-based social order."
Basanti,"Romance,  History,  Musical,","Basanti is a historical love story based on the novel by Diamond Shamsher.It depicts the story of a girl along with the accounts of the historical events during the time of Junga Bahadur Rana, the first Rana Prime Minister of Nepal."
Bhannai Sakina,"Drama,  Romance,  Social,",
Angalo Yo Mayako,"Romance,",Angalo yo mayako is Nepali movie directed by Vinod Sereng.
Jawaf,,"Nepali Movie Jawaf
Starring Karan Crazy, Shila Pandey, Tejula Khatiwada, Sahadev KC, Baldev Khadka, Devendra Thapa, Anila KC, Kopila Khadka etc. Director Dinesh Poudel Nepali movie Jawaf is a presentation of Chandrama Media House by Bhuwan Gorkhali. Actor Dinesh Sharma is featured in a special role in the movie. The movie features the music of Ashok Rai, choreography by Rupesh Upreti, story / script / dialogue by Ram Budhathoki, action of Asta / Dev, cinematography by Indra Kumar Nagarkoti and editing by Jayaram Nagarkoti."
Alpaviram,"Social,","Stop Fight, Start Peace."
Bajra Swaath,"Comedy,",
Maya Baiguni,"Drama,  Romance,",
Boksi Ko Ghar,"Thriller,  Mystery,  Horror,","The Nepali film ""Boksi ko Ghar"" tackles societal issues, shedding light on the unjust treatment of women labeled as witches. The teaser reveals accusations of ""Boksi"" (witch) being hurled, reflecting deep-seated societal superstitions leading to cruelty. Lead actress Keki Adhikari emphasizes the film's dual purpose of entertainment and awareness, aiming to combat prevalent social evils. The film's production under Keki's home production signifies a bold move to address sensitive issues. Directed by Sulakshan Bharati, the movie boasts a stellar cast including Supla Sapkota, Swechchha Raut, and Sushma Niraula. ""Boksi ko Ghar"" promises to blend social commentary with thriller elements, confronting prevalent superstitions head-on. Keki's ambition extends beyond Nepal, aiming to showcase the film internationally. With Rajkumar Ghimire as executive producer, the film is set to debut on Baisakh 14, echoing the success of the theatrical adaptation eight years ago."
Taarebhir,"Drama,  Social,",
Jeet,"Comedy,  Drama,  Romance,  Social,",
Devdoot,"Drama,  Romance,",
Chocolate,"Romance,",
Nata,"Drama,  Social,  Family,","Nata is the debut movie of actor Bishow Basnet as a director. Actor Shree Krishna Shrestha debuted in the movie as an actor. The film is the first presentation of Tract Movie Makers and produced by Chhabi Raj Ojha. The movie was a huge success. Chhabi took it off the theaters after it ran for 97 days. He didn't want it to run through 100 days because of the cost involved in the 100-days celebration and other stuffs. Chhabi's wife Geetanjali is also featured in the movie. She later committed suicide. After her death, Chhabi married actress Rekha Thapa."
The Only Son,"Drama,  Documentary,","Pema, 19, is supposed to marry a girl from home, a Nepali Himalayan village at an altitude of 13,000 feet. Pema grew up in a Kathmandu orphanage as poverty and illness forced his parents to give most of their 6 children away. Today, the unusual family is scattered around the globe. It would be the only son's duty to tend to the family home in the mountains. But Pema wants to study abroad, and live a modern life."
Ghar Sansar,,Ghar Sansar is a new Nepali movie directed by Asmita Basnet.
Superstar,"Romance,  Action,  Musical,",
Tuhuro,"Drama,","This movie unfolds a story of a social conflict between high class and low class. A poor boy, whose family is ruined by a money lender, takes revenge with him as he grows."
Ajambari Maya,"Other,",
Prem Diwas,"Romance,","What would you generally expect in a love story? Traditionally, the hero has a strong desire for the heroine; but there are some villains between them. Now, the hero’s job is to remove the hurdles and win his love. But, Prem Diwas goes one step ahead—its hero and heroine are already committed to their relationship; and there are not apparent hurdles. The story rules out any possibility of a triangular tension when it begins."
Shabda,,
Farki Farki,"Drama,  Romance,","Farki Farki is a Nepali romantic drama movie directed by Suyog Gurung starring Anmol KC, Jassita Gurung."
London to Paris,"Comedy,  Drama,","London to Paris is a Nepali movie directed by Ghanashyam Lamichhane starring by Samragyee RL Shah, Nischal Khaka."
Lazza,"Drama,  Musical,","Chhabi Raj Ojha‘s film ‘Lazza’ is the third film under the banner Chhabiraj Films  after ‘Hamesha‘ and ‘Loafer‘. Chabi had to register Chhabiraj Films after his ex-wife Rekha Thapa took the banner Rekha Films with her after the divorce. Although ‘Hamesha’ was jointly produced by Chhabiraj Films and Rekha Films and Rekha was the leading actress, next two movies were produced by Chhabiraj Films alone and features Rajani KC and Shilpa Pokhrel respectively."
Dying Candle,"Drama,  Family,","Dying Candle is about a poor Nepalese woman who struggles to care for her ailing mother and her mischievous little brother. Against all odds, she tries to take care of her family but when things fall apart, the young woman takes drastic action."
Rato Galbandi,"Romantic,","Rato Galbandi is a love story, starring Keki Adhikari, Koshis Kshetri and Buddhi Tamang, directed by Anish Thapa."
Pirati Afai Hudo Raicha,"Social,  Action,",
Samjhirakha Hai,"Social,",
Parai,"Action,  Romantic,",Parai is an emotional family movie directed by late Shiva Regmi and produced by Govinda Shahi. Its a story about a couple whose baby is found by a thief and took care of the baby with the help of an another character.
Intu Mintu Londonma,"Drama,  Romance,","When Ishan (Dhiraj Magar) and Meera (Samragyee Rajya Laxmi Shah) meet by chance through their common friends in London, they unknowingly fall for each other only to discover their fate depends on a difficult choice."
Meri Kusum,"Action,  Love Story,",Meri Kusum is a love story  movie directed by N.R Ghimire and produced by Sunita Sharma Bogati.
Bardaan,"Drama,",Bardaan is a nepali movie directed by Shovit Basnet.
Seto Bagh,"Social,  Suspance,  Crime,  Political,  History,","Seto Bagh is a 2015 Nepali historical film directed by Neer Shah. The cast includes BS Rana, Rajaram Poudel, Rabi Giri, Shyam Rai and Anjana Kattel. This movie is based on a historical novel of the same name written by one of the prominent Nepalese novelists Diamond Shumsher Rana."
Saayad,"Action,  Crime,  Adventure,","The movie 'Saayad' is the story of two brothers Yodin (played by Samyam Puri) and Nirag (played by Sunil Rawal). After Yodin was born, their family had earned wealth and their life became more easier so Nirag considers Yodin a luck. Yodin's crush, Sirish, was the sister of Nirag's crush, Samridhi. Yodin's best friend Ved (played by Wilson Bikram Rai) introduced Yodin to drugs. Yodin and Ved's group started taking drugs because of the problems in the family and love lives. Drugs caused them to neglect their study and get involved in gang fights. The story takes a u-turn when Sirish died. It is better to keep from telling, all about how Sirish died and how their lives changed after her death, not to spoil your movie experience in the theatre."
Parai Ghar,"Drama,  Family,","Parai Ghar is 1998 movie based on family drama, directed by Deepak Rayamajhi."
Sorah Barshe Jowan,"Other,",
The Outlaw,"Action,","The Outlaw is a new Nepali movie diercetd by Bickee Maharjan starring Sushil Shrestha, Naresh Poudel, Shikshya Sangroula, Suman Bhandari and Sony Lagun."
Samhali Rakha Hai,"Action,",
Greater Nepal In Quest Of Boundary,"History,  Documentary,","Greater Nepal In Quest Of Boundary is a Documentary by Manoj Pandit who has also directed many other burning issue movies like Dasdhunga, Badhshala etc. This Documentary reveals the fact about Greater Nepal which still legally belongs to Nepal but illegally occupied by india. Greater Nepal has extended territory which belongs to Nepal and only Nepal. To know more about it goto http://www.greaternepal.org/ Don't forget to share to let other people know."
Aadha Love,"Drama,  Romance,","Adha Love is a commentary on the contemporary Nepali society and draws our attention to the evolving dynamics of relationships, which is slowly but certainly shaping the emergent understanding of urban life. The film is an unforgettable tour through the lives of five different families, who despite being the resident of the same apartment are living worlds apart, trying to untangle the threads of love and life to find meaning and contentment. This is the story of every individual, who is trying to find his/her share of love and happiness in a society, where both the things are in short supply."
Mukundo,"Drama,",A couple seek guidance from a Nepalese spiritual healer after the death of their baby boy.
Dasdhunga,"Social,  Thriller,  History,",Based On the report presented by different commissions on the 1993-5-17 dasdhunga incident.
Uma,"History,","The Maoists insurgency in the 1990s is a murky chapter in the history of Nepal. While it has led to a wave of dialogue and debate for much-needed change it has left the country in shambles.
Nepal is still picking up the pieces. Patriotism has since grown louder among Nepalis but the aftermath of the 10-year conflict has polarised Nepali society and the effects of the 'People's war' is still starkly evident.

Set in the early 2000s, during the Maoist insurgency, when Nepal was going through one of the biggest conflicts in the country's history, UMA is a story about a widowed mother (Mithila Sharma) and her two children – son Milan (Saugat Malla) and daughter Uma (Reecha Sharma). Inspired by true events, the film’s story revolves around a brother and sister who are separated by circumstances caused by ideological differences."
Daanvi,"Drama,  Action,",Daanvi is a new Nepali movie directed by Rupesh Tamang.
Punarjanma,"Other,",
Pukar,,
Gharjwai,"Drama,  Romance,  Social,","Gharjwai is a Nepali movie directed by Anil Budha Magar, starring Daya Hang Rai, Miruna Magar."
Veer,"Drama,","Rambhai Oli’s presentation Nepali film ‘Veer’ features actress Rekha Thapa with singer and actor Yash Kumar. The action movie features the editing of Milan Shrestha, cinematography of Saurav Lama, action of Dev Maharjan, dance of Kamal Rai / Govinda Rai / Shankar BC / Kabiraj Gahatraj and produced by Prabin Shah."
Sarauto,"Action,","Sarauto is an action comedy movie starring Vijaya Lama, Dhiren Shakya, Sumi Moktan & Sunny Singh directed by Hari Prasad Humagain. Hari Humagain directorial ‘Sarauto’, aims to empower women and recognize their contributions to society."
STREET LINE - Kleine Wölfe II,,"STREET LINE will be the sequel to our documentary KLEINE WOLFE. Ten years after filming, we were able to track down some of the children from back then. STREET LINE is a portrait of the then 11 and now 22 year old SONU and three other former street children in Kathmandu, Nepal. We want to accompany SONU on its way to throw off the fetters of its past in order to break the cycle of the STREET LINE for its daughter.
https://streetline-film.com"
Mero Hajur,"Action,  Other,  Love Story,",
Fitkiree,"Other,",FITKIREE starring Saugat Malla and Deeya Maskey is all set for a March 21 release! The upcoming investigative thriller with a fuse of drama has been directed by the theatre guru Anup Baral and also stars the LOOT director Nischal Basnet. Fitkiree will be screened in Australia by Ekta Films. A premiere show in Sydney has been confirmed for March 23. The film is expected to be screened in Japan.
Jindagani Darpan Chhaya,"Drama,  Romance,",Jindagani Darpan Chhaya is nepali movie directed by Manish Panth.
Satidevi,"Drama,  Family,","Satidevi is a new Nepali movie directed by Laxman Subedi. In the movie, Kul Bahadur, a poor man in a village struggling with alcoholism, has four daughters. Despite longing for a son, his eldest, Sati Devi, tries to bring him joy. Yet, fate leads to heart-wrenching situations."
Laxman Rekha,"Other,",
Sukulgunda,,
Koila,"Action,",
Parkhi Base Timilai,"Drama,  Romance,",Parkhi Base Timilai is Nepali movie directed by Deepak Shrestha.
The Porter: The Untold Story at Everest,"Adventure,","A young privileged American attempts to make history at Everest by becoming a Himalaya Porter. But experiences a harrowing reality instead. This is an inside look at the darker side of Everest. At the strength, pride and pain of those whose support it. And at just how hard it is for a naïve foreigner to attempt the same. This is The Porter.

A Pathfinder Creations Perspective; As told by Nathaniel James Menninger; With Cinematography by Babin Dulal; And In Association With: The Small World and Outfitter Nepal."
Chokho Maya,"Other,",
Shakuntala,"Drama,  Action,",Shakuntala is a Nepalese film about an intolerance on violence against women in our society. The film highlights women who fall victim of crime and domestic violence.
Laxmi Rani,"Drama,",
Mahajatra,"Comedy,  Drama,  Suspance,  Crime,","Following the success of ""Jatra"" and ""Jatrai Jatra,"" Shatkon Arts embarks on their third venture, ""Mahajatra,"" with filming underway in Kathmandu and Janakpur. Directed by Pradip Bhattarai, the movie features an ensemble cast including Hari Bansha Acharya, Bipin Karki, and Barsha Raut, among others. With a 45-day shooting schedule, the team is set to deliver another entertaining masterpiece. Amidst shooting challenges due to the lack of a proper studio, director Bhattarai orchestrates multiple scenes simultaneously, showcasing the energy of actors Arun Chhetri and Ashma Vishwakarma in a vibrant dance sequence choreographed by Kaviraj Gahatraj. The film's promotional song, ""Kya Ramro,"" featuring lyrics by Eknarayan Bhandari and music by Ashish Aviral, is a star-studded affair, with over 100 choruses contributing. Producer Max Dipesh Khatri ensures a seamless post-production process post-shooting. ""Mahajatra"" promises to blend laughter and tears, encapsulating the journey of chasing drea"
Mayalu,"Romance,  Social,","The 1990 release, Nepali movie 'Mayalu' featured actors like Bhuwan KC, Karishma Manandhar in leading roles. 'Mayalu' was produced by Sayapatri Films and was directed by Shambhu Pradhan. Ranjit Gazmer was the music director of the movie."
Chitkar,"Other,",
Timi Hunchau Jaha Jaha,"Drama,  Romance,",Timi Hunchau Jaha Jaha is a love story directed by Vikash Basyal starring Malina Joshi and Manish Sundar Shrestha.
Heroz,,
The Trap,"Drama,  Action,",The Trap is a nepali movie directed by Kamal Yonjan.
Preyesi,"Other,",
Hamro Sano Ghar Hola,"Drama,  Romance,",
Nagbeli,,
Selfie King,,"Selfie King is a type of movie that is rarely made in Nepal. Story revolves around the life of ‘Selfie King’— a comic actor, who is struggling to balance his professional and personal life."
